Time (s),Ux,Uy,Uz,k,omega,p
749,0.000370926295587,1.44539468731e-05,0.000376380386663,0.000169050567079,3.80285192794e-06,0.00482813601024
750,0.000373638687952,1.44846799013e-05,0.000377207044,0.000169093552911,3.81876438259e-06,0.0048377156954
751,0.000376387935041,1.45169592871e-05,0.000377972576877,0.000169105654508,3.83548553669e-06,0.00484004759482
752,0.000378599224572,1.45403470356e-05,0.000378497342819,0.000169098476007,3.85323683629e-06,0.00483443585767
753,0.000380986787879,1.45607053722e-05,0.000379002483194,0.000169074977632,3.87257710995e-06,0.00482613447511
754,0.000383181864571,1.45728523195e-05,0.000379267262716,0.00016901726252,3.88683445762e-06,0.00482605409369
755,0.000385348036967,1.45828966189e-05,0.000379397761387,0.000168964956556,3.90043237641e-06,0.00482010269989
756,0.000386827802959,1.45918985998e-05,0.000379203035888,0.00016890079976,3.91209286731e-06,0.0048071163881
757,0.000387999922175,1.4603389563e-05,0.000378750923154,0.000168816103839,3.92624029384e-06,0.00479891675787
758,0.000388631275273,1.46073157843e-05,0.000377852204996,0.000168710891241,3.93856538647e-06,0.00479788731527
759,0.0003889384416,1.46137775775e-05,0.000377024743941,0.000168554289783,3.95255039717e-06,0.00479428978416
760,0.000388851094657,1.46094363637e-05,0.000375867699342,0.000168354315804,3.96516481408e-06,0.00479109143618
761,0.000388688237824,1.4601665411e-05,0.00037495860174,0.000168106166291,3.97793838474e-06,0.00479514121916
762,0.000387465238856,1.45720468703e-05,0.00037371863762,0.000167796422327,3.98829934657e-06,0.0048005585212
763,0.000385363272382,1.45354096261e-05,0.000372369016786,0.000167459320831,3.99837406472e-06,0.00481219189644
764,0.000382759949743,1.44942029493e-05,0.000370648993119,0.000167040347092,4.00909299892e-06,0.00481986622855
765,0.000380540958348,1.44499172292e-05,0.000368792092051,0.000166567620992,4.01920748136e-06,0.00481845432962
766,0.000377170731621,1.43915454976e-05,0.000366917539624,0.000166042076284,4.03012617899e-06,0.0048169964717
767,0.000374008472907,1.43390885491e-05,0.000365107419195,0.000165465376142,4.04017519153e-06,0.00480851653792
768,0.00037084835745,1.42767162454e-05,0.000363037032852,0.000164834340647,4.05127994084e-06,0.00479757085508
769,0.000367823293376,1.42180277585e-05,0.000361169620715,0.000164136005765,4.06060721211e-06,0.0048025296572
770,0.000364251656137,1.41542416503e-05,0.000358734156584,0.000163402475611,4.06709319521e-06,0.00479869614507
771,0.000360299099203,1.40875028378e-05,0.000356146708304,0.000162628133027,4.071811098e-06,0.0047823469882
