Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                  65",-3.114833158158e+01,3.917669925429e-01,-3.819103482575e+00,-3.150487153087e+01,3.919725014184e-01,-3.830401946651e+00,-3.565399492936e-01,2.055088755779e-04,-1.129846407595e-02
"                  66",-3.148594017324e+01,4.916383721868e-01,-4.283107952845e+00,-3.184536508450e+01,4.924823840048e-01,-4.295208393812e+00,-3.594249112622e-01,8.440118180314e-04,-1.210044096674e-02
"                  67",-3.197979511529e+01,5.979640136764e-01,-4.652363787759e+00,-3.234216666747e+01,5.996739106585e-01,-4.665222322732e+00,-3.623715521750e-01,1.709896982105e-03,-1.285853497295e-02
"                  68",-3.250312592735e+01,6.930135923474e-01,-4.961481858002e+00,-3.286870162550e+01,6.957731349446e-01,-4.975060904654e+00,-3.655756981455e-01,2.759542597155e-03,-1.357904665224e-02
"                  69",-3.301512136552e+01,7.563870626851e-01,-5.207793694406e+00,-3.338414776573e+01,7.604254081206e-01,-5.222052948778e+00,-3.690264002079e-01,4.038345435511e-03,-1.425925437217e-02
"                  70",-3.354349598369e+01,7.916373988368e-01,-5.392024090798e+00,-3.391637609778e+01,7.971074203696e-01,-5.406949186826e+00,-3.728801140903e-01,5.470021532814e-03,-1.492509602867e-02
"                  71",-3.404383530760e+01,7.953951441087e-01,-5.480756271902e+00,-3.442070858910e+01,8.024302198621e-01,-5.496308065271e+00,-3.768732814990e-01,7.035075753423e-03,-1.555179336909e-02
"                  72",-3.452368905066e+01,7.752175380542e-01,-5.467347702705e+00,-3.490442810999e+01,7.837704035635e-01,-5.483514859081e+00,-3.807390593238e-01,8.552865509312e-03,-1.616715637591e-02
"                  73",-3.495706687102e+01,7.475841477562e-01,-5.371411773046e+00,-3.534141743659e+01,7.576085863741e-01,-5.388153837822e+00,-3.843505655662e-01,1.002443861789e-02,-1.674206477628e-02
"                  74",-3.530395649015e+01,7.263743504609e-01,-5.235458478330e+00,-3.569172365904e+01,7.377296043418e-01,-5.252766244120e+00,-3.877671688882e-01,1.135525388082e-02,-1.730776578975e-02
"                  75",-3.552078019592e+01,7.097518424829e-01,-5.104089626980e+00,-3.591177800794e+01,7.224789678106e-01,-5.121931602021e+00,-3.909978120158e-01,1.272712532766e-02,-1.784197504144e-02
"                  76",-3.561318392083e+01,6.976463859505e-01,-5.004193041183e+00,-3.600731093351e+01,7.116937395666e-01,-5.022593848328e+00,-3.941270126776e-01,1.404735361616e-02,-1.840080714467e-02
"                  77",-3.555250488222e+01,6.875260753880e-01,-4.919974329237e+00,-3.594957103326e+01,7.028828364667e-01,-4.938939285472e+00,-3.970661510385e-01,1.535676107872e-02,-1.896495623543e-02
"                  78",-3.544677261004e+01,6.900676184479e-01,-4.837952724027e+00,-3.584659511568e+01,7.066867993053e-01,-4.857475840232e+00,-3.998225056414e-01,1.661918085735e-02,-1.952311620457e-02
"                  79",-3.540455496086e+01,7.184607281284e-01,-4.732837467453e+00,-3.580693078139e+01,7.363577953990e-01,-4.752901361315e+00,-4.023758205305e-01,1.789706727052e-02,-2.006389386150e-02
"                  80",-3.540658307604e+01,7.764101003541e-01,-4.617997828328e+00,-3.581140947913e+01,7.954635340971e-01,-4.638546550298e+00,-4.048264030975e-01,1.905343374304e-02,-2.054872197036e-02
